"Município";"População de 15 anos ou mais"
"211110 SAO JOAO DOS PATOS";15245
"211120 SAO JOSE DE RIBAMAR";68278
"211125 SAO JOSE DOS BASILIOS";4430
"211130 SAO LUIS";602450
"211140 SAO LUIS GONZAGA DO MARANHAO";14346
"211150 SAO MATEUS DO MARANHAO";21431
"211153 SAO PEDRO DA AGUA BRANCA";6545
"211157 SAO PEDRO DOS CRENTES";2429
"211160 SAO RAIMUNDO DAS MANGABEIRAS";8951
"211163 SAO RAIMUNDO DO DOCA BEZERRA";3691
"211167 SAO ROBERTO";2515
"211170 SAO VICENTE FERRER";10949
"211172 SATUBINHA";6562
"211174 SENADOR ALEXANDRE COSTA";5148
"211176 SENADOR LA ROCQUE";10046
"211178 SERRANO DO MARANHAO";5433
"211180 SITIO NOVO";8898
"211190 SUCUPIRA DO NORTE";6402
"211195 SUCUPIRA DO RIACHAO";2710
"211200 TASSO FRAGOSO";3657
"211210 TIMBIRAS";15538
"211220 TIMON";84136
"211223 TRIZIDELA DO VALE";10880
"211227 TUFILANDIA";3329
"211230 TUNTUM";21849
"211240 TURIACU";17531
"211245 TURILANDIA";10520
"211250 TUTOIA";21256
"211260 URBANO SANTOS";9772
"211270 VARGEM GRANDE";20163
"211280 VIANA";26914
"211285 VILA NOVA DOS MARTIRIOS";4067
"211290 VITORIA DO MEARIM";17905
"211300 VITORINO FREIRE";17415
"211400 ZE DOCA";28165
"220005 ACAUA";3252
"220010 AGRICOLANDIA";3572
"220020 AGUA BRANCA";9852
"220025 ALAGOINHA DO PIAUI";4715
"220027 ALEGRETE DO PIAUI";3092
"220030 ALTO LONGA";8060
"220040 ALTOS";25559
"220045 ALVORADA DO GURGUEIA";2550
"220050 AMARANTE";11265
"220060 ANGICAL DO PIAUI";4652
"220070 ANISIO DE ABREU";4537
"220080 ANTONIO ALMEIDA";1852
"220090 AROAZES";4133
"220100 ARRAIAL";3036
"220105 ASSUNCAO DO PIAUI";4204
"220110 AVELINO LOPES";6301
"220115 BAIXA GRANDE DO RIBEIRO";4424
"220117 BARRA D'ALCANTARA";2776
"220120 BARRAS";25779
"220130 BARREIRAS DO PIAUI";1882
"220140 BARRO DURO";4552
"220150 BATALHA";15331
"220155 BELA VISTA DO PIAUI";1966
"220157 BELEM DO PIAUI";1717
"220160 BENEDITINOS";6506
"220170 BERTOLINIA";3320
"220173 BETANIA DO PIAUI";5086
"220177 BOA HORA";3157
"220180 BOCAINA";3129
"220190 BOM JESUS";10199
"220191 BOM PRINCIPIO DO PIAUI";2915
"220192 BONFIM DO PIAUI";3188
"220194 BOQUEIRAO DO PIAUI";3570
"220196 BRASILEIRA";4910
"220198 BREJO DO PIAUI";2591
"220200 BURITI DOS LOPES";11616
"220202 BURITI DOS MONTES";4554
"220205 CABECEIRAS DO PIAUI";5547
"220207 CAJAZEIRAS DO PIAUI";1739
"220208 CAJUEIRO DA PRAIA";3944
"220209 CALDEIRAO GRANDE DO PIAUI";3503
"220210 CAMPINAS DO PIAUI";3393
"220211 CAMPO ALEGRE DO FIDALGO";2802
"220213 CAMPO GRANDE DO PIAUI";3171
"220217 CAMPO LARGO DO PIAUI";3368
"220220 CAMPO MAIOR";30428
"220225 CANAVIEIRA";2531
"220230 CANTO DO BURITI";12366
"220240 CAPITAO DE CAMPOS";6534
"220245 CAPITAO GERVASIO OLIVEIRA";2284
"220250 CARACOL";5028
"220253 CARAUBAS DO PIAUI";2980
"220255 CARIDADE DO PIAUI";2474
"220260 CASTELO DO PIAUI";11721
"220265 CAXINGO";2492
"220270 COCAL";14580
"220271 COCAL DE TELHA";2823
"220272 COCAL DOS ALVES";3203
"220273 COIVARAS";2364
"220275 COLONIA DO GURGUEIA";3174
"220277 COLONIA DO PIAUI";4569
"220280 CONCEICAO DO CANINDE";3193
"220285 CORONEL JOSE DIAS";3011
"220290 CORRENTE";14659
"220300 CRISTALANDIA DO PIAUI";3978
"220310 CRISTINO CASTRO";5646
"220320 CURIMATA";5989
"220323 CURRAIS";2682
"220325 CURRALINHOS";2325
"220327 CURRAL NOVO DO PIAUI";2435
"220330 DEMERVAL LOBAO";8431
"220335 DIRCEU ARCOVERDE";3991
"220340 DOM EXPEDITO LOPES";4115
"220342 DOMINGOS MOURAO";2550
"220345 DOM INOCENCIO";5963
"220350 ELESBAO VELOSO";10512
"220360 ELISEU MARTINS";2864
"220370 ESPERANTINA";21768
"220375 FARTURA DO PIAUI";2929
"220380 FLORES DO PIAUI";2846
"220385 FLORESTA DO PIAUI";1604
"220390 FLORIANO";37471
"220400 FRANCINOPOLIS";3502
"220410 FRANCISCO AYRES";3394
"220415 FRANCISCO MACEDO";1574
"220420 FRANCISCO SANTOS";4889
"220430 FRONTEIRAS";6672
"220435 GEMINIANO";3129
"220440 GILBUES";6074
"220450 GUADALUPE";6662
"220455 GUARIBAS";2649
"220460 HUGO NAPOLEAO";2432
"220465 ILHA GRANDE";5089
"220470 INHUMA";9841
"220480 IPIRANGA DO PIAUI";5652
"220490 ISAIAS COELHO";4730
"220500 ITAINOPOLIS";7351
"220510 ITAUEIRA";7009
"220515 JACOBINA DO PIAUI";3673
"220520 JAICOS";10275
"220525 JARDIM DO MULATO";2640
"220527 JATOBA DO PIAUI";3034
"220530 JERUMENHA";2883
"220535 JOAO COSTA";1971
